Athlete,Group,Body weight (kg),Attempt 1,Attempt 2,Attempt 3,Snatch Result (kg),Attempt 1,Attempt 2,Attempt 3,Clean Result (kg),Total (kg),Year,Gender
Meng Suping,A,120.27,125,125,130,130,175,175,177,177,307,2016,W
Kim Kuk-hyang,A,100.43,123,127,131,131,162,170,175,175,306,2016,W
Sarah Robles,A,143.3,118,122,126,126,151,155,160,160,286,2016,W
Shaimaa Khalaf,A,123.75,117,121,121,117,155,161,169,161,278,2016,W
Lee Hui-sol,A,119.49,119,122,126,122,153,159,159,153,275,2016,W
Son Young-hee,A,109.58,115,118,121,118,155,162,166,155,273,2016,W
Yaniuska Espinosa,B,114.08,115,119,121,121,145,149,152,152,273,2016,W
Andreea Aanei,A,120.01,119,119,120,120,145,154,154,145,265,2016,W
Mariam Usman,A,122.39,115,120,120,115,145,150,152,150,265,2016,W
Anastasiya Lysenko,B,100.97,117,117,117,117,146,146,156,146,263,2016,W
Yosra Dhieb,B,120.06,106,106,111,111,133,138,141,138,249,2016,W
Anastasiia Hotfrid,B,86.98,110,113,115,113,130,135,135,135,248,2016,W
Tracey Lambrechs,B,106.54,98,98,101,98,133,133,139,133,231,2016,W
Luisa Peters,B,100.27,95,100,100,100,119,124,126,124,224,2016,W
Bouchra Fatima Zohra Hirech,B,80.35,83,87,90,87,105,108,108,105,192,2016,W
Rim Jong-sim,A,74.47,117,121,121,121,145,153,162,153,274,2016,W
Darya Naumava,A,74.63,107,112,116,116,136,139,142,142,258,2016,W
Lidia Valentín,A,74,112,116,116,116,135,138,141,141,257,2016,W
Ubaldina Valoyes,A,74.28,106,109,111,111,131,136,138,136,247,2016,W
Iryna Dekha,A,74.89,111,114,116,114,133,138,141,133,247,2016,W
Jenny Arthur,A,74.65,103,103,107,107,130,135,141,135,242,2016,W
María Fernanda Valdés,B,74.66,107,107,107,107,135,142,142,135,242,2016,W
Gaëlle Nayo-Ketchanke,A,73.61,102,107,107,102,132,135,140,135,237,2016,W
Alejandra Garza,B,74.59,98,98,101,98,125,125,126,126,224,2016,W
Sona Poghosyan,B,72.52,92,97,100,97,115,122,126,126,223,2016,W
Mary Opeloge,B,74.56,97,100,102,100,115,117,118,118,218,2016,W
Natalia Prișcepa,B,73.72,93,97,100,97,110,116,123,116,213,2016,W
Assiya İpek,B,69.77,80,83,85,83,95,100,103,103,186,2016,W
Samira Ouass,B,73.68,70,75,80,75,90,96,97,97,172,2016,W
Xiang Yanmei,A,68.78,113,116,118,116,142,145,147,145,261,2016,W
Zhazira Zhapparkul,A,69,111,115,117,115,140,140,144,144,259,2016,W
Sara Ahmed,A,68,107,110,112,112,135,140,143,143,255,2016,W
Leydi Solís,A,68.61,106,110,110,110,140,143,146,143,253,2016,W
Nazik Avdalyan,A,68.55,103,107,107,107,130,133,135,135,242,2016,W
Darya Pachabut,A,66.88,105,105,108,105,126,132,137,132,237,2016,W
Neisi Dajomes,B,68.83,100,104,107,107,130,135,135,130,237,2016,W
Mönkhjantsangiin Ankhtsetseg,A,68.97,106,106,108,106,131,135,135,131,237,2016,W
Marie-Ève Beauchemin-Nadeau,A,68.81,98,98,103,98,130,135,136,130,228,2016,W
Rebekah Tiler,B,68.59,98,101,101,101,122,126,126,126,227,2016,W
Apolonia Vaivai,B,68.88,88,88,92,88,108,113,117,113,201,2016,W
Duygu Aynacı,B,68.83,85,88,90,90,105,110,110,110,200,2016,W
Gulnabat Kadyrova,B,68.73,85,90,94,90,100,105,105,105,195,2016,W
Arcangeline Fouodji,B,68.08,77,82,86,82,100,105,110,105,187,2016,W
Deng Wei,A,62.34,108,112,115,115,138,147,–,147,262,2016,W
Choe Hyo-sim,A,62.17,105,109,111,105,135,138,143,143,248,2016,W
Karina Goricheva,A,62.66,107,107,111,111,132,137,137,132,243,2016,W
Mercedes Pérez,A,62.74,100,104,104,104,125,130,137,130,234,2016,W
Eva Gurrola,A,62.6,97,100,100,100,120,125,125,120,220,2016,W
Giorgia Bordignon,A,62.75,94,98,98,98,115,119,123,119,217,2016,W
Esraa El-Sayed,B,61.98,93,97,100,100,112,116,118,116,216,2016,W
Marina Rodríguez,B,62.2,87,91,94,94,117,121,123,121,215,2016,W
Namika Matsumoto,B,62.86,90,94,95,90,107,111,115,115,205,2016,W
Anni Vuohijoki,B,62.26,85,88,89,85,104,107,113,107,192,2016,W
Joana Palacios,B,62.95,80,83,86,83,101,102,107,107,190,2016,W
Elisa Ravololoniaina,B,61.91,75,80,85,85,95,100,100,100,185,2016,W
Mehtap Kurnaz,B,62.16,78,81,83,81,100,103,105,100,181,2016,W
Sukanya Srisurat,A,56.89,105,108,110,110,127,130,132,130,240,2016,W
Pimsiri Sirikaew,A,57.4,98,100,102,102,128,130,—,130,232,2016,W
Kuo Hsing-chun,A,57.86,102,105,105,102,129,129,139,129,231,2016,W
Alexandra Escobar,A,57.23,97,100,102,100,118,121,123,123,223,2016,W
Mikiko Ando,A,57.56,90,93,94,94,120,124,126,124,218,2016,W
Yuderqui Contreras,A,57.58,96,100,102,100,117,121,122,117,217,2016,W
Lina Rivas,A,57.92,96,100,100,96,116,120,122,120,216,2016,W
Patricia Domínguez,A,57.47,91,94,96,96,115,118,119,115,211,2016,W
Yusleidy Figueroa,A,57.71,85,89,89,85,110,116,—,116,201,2016,W
Sabine Kusterer,B,57.7,87,89,90,90,108,110,110,110,200,2016,W
Mathlynn Sasser,B,56.8,82,84,87,87,110,112,112,112,199,2016,W
Angelica Roos,B,57.9,84,87,87,84,107,110,112,110,194,2016,W
Veronika Ivasiuk,B,57.1,87,87,90,90,98,103,107,103,193,2016,W
Tia-Clair Toomey,B,57.7,78,82,82,82,103,107,112,107,189,2016,W
Jenly Tegu Wini,B,57.5,80,84,87,84,100,104,109,104,188,2016,W
Ayesha Al-Balooshi,B,57,67,70,72,72,86,90,94,90,162,2016,W
Hsu Shu-ching,A,52.6,92,96,100,100,112,126,,112,212,2016,W
Hidilyn Diaz,A,52.61,88,88,91,88,111,112,117,112,200,2016,W
Yoon Jin-hee,A,52.59,88,90,90,88,110,110,111,111,199,2016,W
Rebeka Koha,A,52.11,87,87,90,90,103,107,110,107,197,2016,W
Rosane Santos,A,52.57,85,90,90,90,103,107,108,103,193,2016,W
Kanae Yagi,B,52.39,81,81,81,81,101,101,105,105,186,2016,W
Dewi Safitri,A,52.78,80,80,80,80,105,105,108,105,185,2016,W
Evagjelia Veli,B,51.58,68,72,75,75,88,90,96,90,165,2016,W
Lely Burgos,B,49.53,67,70,72,72,85,88,90,90,162,2016,W
Scarleth Mercado,B,52.85,62,66,68,66,83,86,89,89,155,2016,W
Fiorella Cueva,B,48.32,62,65,67,65,85,88,90,88,153,2016,W
Sofía Rito,B,51.74,64,64,67,64,82,82,88,82,146,2016,W
Sopita Tanasan,A,47.91,88,90,92,92,106,108,110,108,200,2016,W
Sri Wahyuni Agustiani,A,47.25,82,85,87,85,107,115,115,107,192,2016,W
Hiromi Miyake,A,47.95,81,81,81,81,105,107,107,107,188,2016,W
Beatriz Pirón,A,47.5,85,87,87,85,102,105,105,102,187,2016,W
Margarita Yelisseyeva,A,47.72,80,84,84,80,103,106,106,106,186,2016,W
Morghan King,A,47.79,80,82,83,83,100,103,103,100,183,2016,W
Chen Wei-ling,A,47.13,75,79,81,81,99,100,100,100,181,2016,W
Iulia Paratova,A,47.74,84,86,86,84,95,95,98,95,179,2016,W
Roilya Ranaivosoa,A,47.9,73,78,80,80,93,98,100,93,173,2016,W
Zhanyl Okoeva,A,47.56,68,72,75,72,92,97,101,97,169,2016,W
Zhou Lulu (CHN),,130.83,142,146,146,146,181,187,190,187,333,2012,W
Tatiana Kashirina (RUS),,102.31,144,149,151,151,175,181,187,181,332,2012,W
Jang Mi-ran (KOR),,118.07,120,125,129,125,158,164,170,164,289,2012,W
Nahla Ramadan (EGY),,105.51,122,125,125,122,150,155,158,155,277,2012,W
Ele Opeloge (SAM),,124.89,117,122,122,117,145,150,155,150,267,2012,W
Sarah Robles (USA),,124.35,114,118,120,120,144,145,145,145,265,2012,W
Oliba Nieve (ECU),,97.43,113,117,120,117,138,138,142,138,255,2012,W
Mami Shimamoto (JPN),,105.9,103,107,110,110,138,143,146,143,253,2012,W
Holley Mangold (USA),,157.04,105,105,110,105,135,140,140,135,240,2012,W
Astrid Camposeco (GUA),,88.52,87,91,93,93,112,115,117,115,208,2012,W
Luisa Peters (COK),,88.58,74,78,82,82,95,100,105,100,182,2012,W
Alberta Ampomah (GHA),,78.53,70,70,73,73,97,97,101,101,174,2012,W
Lidia Valentín (ESP),A,74.39,115,115,120,120,140,145,148,145,265,2012,W
Abeer Abdelrahman (EGY),A,74.6,112,116,118,118,140,148,151,140,258,2012,W
Madias Nzesso (CMR),B,74.55,105,110,115,115,131,136,140,131,246,2012,W
Ewa Mizdal (POL),A,70.58,100,102,104,104,127,132,133,127,231,2012,W
Jaqueline Ferreira (BRA),B,74.12,95,100,102,102,121,126,128,128,230,2012,W
María Fernanda Valdés (CHI),B,74.7,96,100,100,96,120,127,131,127,223,2012,W
Lim Ji-hye (KOR),B,74.81,97,102,103,97,125,126,132,126,223,2012,W
Thuraia Sobh (SYR),B,73.36,80,86,91,86,105,113,115,115,201,2012,W
Khadija Mohammed (UAE),B,74.72,47,51,53,51,53,58,62,62,113,2012,W
Rim Jong-sim (PRK),A,68.22,111,115,117,115,142,146,146,146,261,2012,W
Roxana Cocoș (ROU),A,68,108,111,113,113,138,143,146,143,256,2012,W
Anna Nurmukhambetova (KAZ),A,68.71,110,115,117,115,136,140,140,136,251,2012,W
Ubaldina Valoyes (COL),A,68.98,108,111,113,111,130,135,135,135,246,2012,W
Huang Shih-hsu (TPE),A,68.45,110,115,115,110,130,130,131,131,241,2012,W
Marie-Ève Beauchemin-Nadeau (CAN),B,68.92,100,100,104,104,130,134,135,135,239,2012,W
Esmat Mansour (EGY),A,68.42,105,105,108,105,130,130,134,130,235,2012,W
Ghada Hassine (TUN),B,68.64,97,101,102,102,115,120,125,120,222,2012,W
Rosa Tenorio (ECU),B,68.72,95,95,100,95,115,115,120,115,210,2012,W
Natasha Perdue (GBR),B,67.98,92,92,95,92,113,—,—,113,205,2012,W
Mercy Obiero (KEN),B,67.85,72,76,76,76,100,105,111,105,181,2012,W
Svetlana Tsarukayeva (RUS),A,62.42,106,111,112,112,125,130,130,125,237,2012,W
Christine Girard (CAN),A,62.87,103,105,105,103,130,133,135,133,236,2012,W
Milka Maneva (BUL),A,62.66,98,102,105,102,125,131,134,131,233,2012,W
Luz Acosta (MEX),A,62.91,99,103,104,99,119,125,127,125,224,2012,W
Seen Lee (AUS),A,59.65,78,83,86,83,98,103,106,103,186,2012,W
Maria Liku (FIJ),A,61.45,78,82,85,82,100,105,105,100,182,2012,W
Lucía Castañeda (NCA),A,62.45,76,79,79,79,91,97,97,97,176,2012,W
Silvana Saldarriaga (PER),A,58.11,70,75,75,75,92,97,101,97,172,2012,W
Li Xueying (CHN),A,57.98,105,105,108,108,133,138,144,138,246,2012,W
Pimsiri Sirikaew (THA),A,57.76,100,103,103,100,131,136,140,136,236,2012,W
Rattikan Gulnoi (THA),A,57.71,98,100,100,100,130,134,136,134,234,2012,W
Jong Chun-mi (PRK),A,57.63,101,103,103,101,130,134,134,130,231,2012,W
Nastassia Novikava (BLR),A,57.94,103,106,108,103,127,127,133,127,230,2012,W
Kuo Hsing-chun (TPE),A,56.95,99,101,102,99,129,133,133,129,228,2012,W
Alexandra Escobar (ECU),B,57.48,100,100,103,103,123,127,127,123,226,2012,W
Jackelina Heredia (COL),A,57.86,98,100,101,100,125,125,125,125,225,2012,W
Romela Begaj (ALB),A,57.94,101,105,105,101,115,121,121,115,216,2012,W
Zoe Smith (GBR),B,57.97,90,93,93,90,116,121,121,121,211,2012,W
Christin Ulrich (GER),B,57.4,88,91,93,93,110,114,116,114,207,2012,W
Yang Eun-hye (KOR),B,57.93,83,87,87,87,108,113,116,113,200,2012,W
Bediha Tunadağı (TUR),B,57.34,84,87,87,87,103,107,107,107,194,2012,W
Annie Moniqui (CAN),B,57.91,85,85,88,85,105,105,105,105,190,2012,W
Jenly Tegu Wini (SOL),B,57.43,65,69,69,65,90,93,95,95,160,2012,W
Hsu Shu-ching (TPE),A,52.41,91,94,96,96,120,123,123,123,219,2012,W
Citra Febrianti (INA),A,52.53,88,91,94,91,108,112,115,115,206,2012,W
Iulia Paratova (UKR),A,52.43,91,94,94,91,105,108,108,108,199,2012,W
Rusmeris Villar (COL),A,52.59,87,87,90,87,105,109,112,109,196,2012,W
Aleksandra Klejnowska (POL),A,52.67,83,84,86,84,108,112,113,112,196,2012,W
Nguyễn Thị Thúy (VIE),B,52.23,80,84,85,85,110,110,115,110,195,2012,W
Yu Weili (HKG),B,52.95,86,86,90,90,105,110,110,105,195,2012,W
Inmara Henríquez (VEN),B,52.84,78,81,81,81,107,110,113,113,194,2012,W
Julia Rohde (GER),B,52.45,83,85,87,85,105,108,110,108,193,2012,W
Kanae Yagi (JPN),B,52.36,82,82,85,82,105,109,109,109,191,2012,W
Joanna Łochowska (POL),A,52.57,84,87,87,84,104,107,110,107,191,2012,W
Dika Toua (PNG),B,52.48,75,79,79,79,95,100,100,95,174,2012,W
Helena Wong (SIN),B,52.31,55,59,61,61,67,71,73,73,134,2012,W
Wang Mingjuan (CHN),A,47.73,88,88,91,91,110,114,116,114,205,2012,W
Hiromi Miyake (JPN),A,47.74,83,85,87,87,108,110,113,110,197,2012,W
Ryang Chun-hwa (PRK),A,47.52,80,83,84,80,108,109,112,112,192,2012,W
Sirivimon Pramongkhol (THA),A,47.23,78,80,82,82,106,108,109,109,191,2012,W
Nurdan Karagöz (TUR),A,46.99,80,83,84,83,104,107,107,104,187,2012,W
Honami Mizuochi (JPN),A,47.77,76,78,80,80,92,94,96,96,176,2012,W
Ngangbam Soniya Chanu (IND),A,47.74,72,74,75,74,93,97,97,97,171,2012,W
Betsi Rivas (VEN),A,47.43,68,70,70,70,92,96,98,98,168,2012,W
Beatriz Pirón (DOM),A,47.85,72,75,77,77,87,90,92,90,167,2012,W
Mélanie Bardis (FRA),A,47.71,70,73,75,73,88,91,93,93,166,2012,W
Lely Burgos (PUR),A,47.61,65,70,70,65,87,92,92,92,157,2012,W
Nathalia Rakotondramanana (MAD),A,47.74,55,55,60,55,75,80,82,80,135,2012,W
Jang Mi-ran (KOR),A,116.75,130,136,140,140,175,183,186,186,326,2008,W
Ele Opeloge (SAM),A,123.89,113,116,119,119,145,150,152,150,269,2008,W
Mariam Usman (NGR),A,115.3,115,115,120,115,145,150,156,150,265,2008,W
Cheryl Haworth (USA),A,136.29,112,115,118,115,140,144,150,144,259,2008,W
Yuliya Dovhal (UKR),A,96.05,114,114,118,118,140,140,147,140,258,2008,W
Deborah Lovely (AUS),A,94.19,109,113,115,113,135,135,140,135,248,2008,W
Victoria Mavridou (GRE),A,102.15,100,105,110,105,121,126,128,126,231,2008,W
Cristina Cornejo (PER),A,117.5,93,97,99,97,123,128,130,128,225,2008,W
Alla Vazhenina (KAZ),A,73.88,115,115,119,119,141,145,147,147,266,2008,W
Lidia Valentín (ESP),A,74.42,110,110,115,115,130,135,138,135,250,2008,W
Damaris Aguirre (MEX),A,74.82,103,106,109,109,130,135,136,136,245,2008,W
Ubaldina Valoyes (COL),A,73.3,105,110,110,110,130,134,138,134,244,2008,W
Jeane Lassen (CAN),A,74.42,105,105,110,105,130,135,140,135,240,2008,W
Nadiya Myronyuk (UKR),A,74.11,102,105,105,105,125,127,132,132,237,2008,W
Yuliya Novakovich (BLR),A,74.19,105,110,110,110,115,122,127,127,237,2008,W
Elizabeth Poblete (CHI),A,74.43,86,91,93,91,106,111,111,106,197,2008,W
Oksana Slivenko (RUS),A,68.47,110,115,115,115,136,140,—,140,255,2008,W
Leydi Solís (COL),A,67.54,99,103,105,105,125,132,135,135,240,2008,W
Abeer Abdelrahman (EGY),A,69,100,105,105,105,133,133,136,133,238,2008,W
Tulia Medina (COL),A,68.63,100,104,106,106,120,124,124,124,230,2008,W
Hanna Batsiushka (BLR),A,68.65,105,110,110,105,120,126,126,120,225,2008,W
Rika Saito (JPN),A,68.65,87,87,90,87,115,120,122,122,209,2008,W
Pak Hyon-suk (PRK),A,61.8,102,106,108,106,135,135,135,135,241,2008,W
Lu Ying-chi (TPE),A,62.46,98,102,104,104,127,130,130,127,231,2008,W
Christine Girard (CAN),A,62.44,96,99,102,102,126,130,130,126,228,2008,W
Nguyễn Thị Thiết (VIE),A,62.49,98,100,102,100,120,125,127,125,225,2008,W
Kim Soo-kyung (KOR),A,62.74,98,102,103,98,127,134,134,127,225,2008,W
Ruth Kasirye (NOR),A,62.62,99,103,105,103,121,125,125,121,224,2008,W
Luz Acosta (MEX),B,62.84,100,103,103,103,120,125,125,120,223,2008,W
Mercedes Pérez (COL),A,62.48,93,97,100,97,120,126,126,120,217,2008,W
Namkhaidorjiin Bayarmaa (MGL),B,62.5,90,95,95,90,118,121,123,123,213,2008,W
